Country	Crime Index	Year
South Sudan	85.32	2015
Venezuela	84.07	2015
Guatemala	79.34	2015
South Africa	78.44	2015
Afghanistan	77.34	2015
Guyana	76.88	2015
Nigeria	76.6	2015
Trinidad And Tobago	75.28	2015
Honduras	74.91	2015
Bahamas	72.93	2015
Kenya	72.61	2015
Jamaica	71.91	2015
Mongolia	70.25	2015
Malaysia	69.97	2015
Papua New Guinea	69.89	2015
Libya	69.64	2015
El Salvador	69.44	2015
Brazil	68.95	2015
Maldives	68.75	2015
Angola	67.97	2015
Dominican Republic	67.72	2015
Puerto Rico	67.06	2015
Bolivia	65.6	2015
Somalia	65.6	2015
Bangladesh	64.25	2015
Costa Rica	63.05	2015
Argentina	62.4	2015
Zimbabwe	62.18	2015
Tanzania	61.8	2015
Pakistan	61.16	2015
Egypt	60.14	2015
Uganda	59.41	2015
Peru	57.63	2015
Colombia	56.88	2015
Syria	56.32	2015
Namibia	55.59	2015
Paraguay	55.57	2015
Iraq	54.06	2015
Ecuador	54.04	2015
Mexico	53.84	2015
Vietnam	52.29	2015
Lebanon	51.98	2015
Algeria	51.34	2015
Russia	51.33	2015
Iran	50.9	2015
Panama	50.08	2015
United States	50.01	2015
Sri Lanka	49.96	2015
France	49.71	2015
Moldova	49.7	2015
Albania	49.6	2015
Fiji	49.44	2015
Ghana	49.42	2015
Ukraine	49.36	2015
Nepal	49.18	2015
Ireland	49.07	2015
Mauritius	48.53	2015
Morocco	47.55	2015
Italy	47.5	2015
Indonesia	47.22	2015
Uruguay	47.17	2015
Kazakhstan	46.68	2015
India	46.55	2015
Bosnia And Herzegovina	45.82	2015
Jordan	45.51	2015
Chile	45.01	2015
Cambodia	44.06	2015
Kuwait	43.51	2015
Bulgaria	43.45	2015
Serbia	43.43	2015
Philippines	43.11	2015
Tunisia	42.67	2015
Australia	42.16	2015
Sweden	42.09	2015
Belgium	42.04	2015
United Kingdom	42.01	2015
Hungary	41.76	2015
China	41.75	2015
Greece	41.35	2015
Bahrain	39.97	2015
New Zealand	39.76	2015
Canada	37.46	2015
Latvia	37.22	2015
Thailand	37.06	2015
Lithuania	36.69	2015
Turkey	36.4	2015
North Macedonia	36.06	2015
Portugal	35.84	2015
Luxembourg	35.74	2015
Azerbaijan	35.47	2015
Netherlands	35.41	2015
Palestine	35.39	2015
Ethiopia	35.07	2015
Montenegro	34.89	2015
Saudi Arabia	34.57	2015
Oman	34.43	2015
Spain	33.85	2015
Slovakia	33.34	2015
Iceland	33.32	2015
Poland	32.99	2015
Czech Republic	32.89	2015
Cyprus	31.56	2015
Norway	31.19	2015
Belarus	30.5	2015
Israel	30.4	2015
Brunei	30.35	2015
Romania	29.72	2015
Finland	29.55	2015
Croatia	29.34	2015
Armenia	29.14	2015
Slovenia	28.71	2015
Germany	28.49	2015
Estonia	28.13	2015
Switzerland	26.77	2015
Austria	26.25	2015
Malta	25.91	2015
Denmark	25.71	2015
United Arab Emirates	22.22	2015
Georgia	22.01	2015
Taiwan	21.88	2015
Qatar	21.04	2015
Japan	20.24	2015
Hong Kong	19.24	2015
South Korea	17.99	2015
Singapore	17.59	2015
Venezuela	84.44	2016
South Sudan	81.32	2016
South Africa	78.43	2016
Afghanistan	77.92	2016
Papua New Guinea	77.58	2016
Honduras	76.43	2016
Nigeria	74.14	2016
Trinidad And Tobago	72.60	2016
Guyana	72.12	2016
El Salvador	72.04	2016
Brazil	71.23	2016
Kenya	69.49	2016
Bahamas	69.41	2016
Bangladesh	68.56	2016
Malaysia	68.55	2016
Angola	66.95	2016
Puerto Rico	65.92	2016
Jamaica	65.53	2016
Peru	64.00	2016
Guatemala	63.54	2016
Argentina	63.28	2016
Dominican Republic	63.25	2016
Namibia	60.89	2016
Zimbabwe	60.02	2016
Tanzania	60.02	2016
Uganda	59.31	2016
Libya	57.81	2016
Mongolia	57.76	2016
Algeria	57.58	2016
Costa Rica	57.56	2016
Pakistan	56.63	2016
Bolivia	56.56	2016
Egypt	56.53	2016
Somalia	55.72	2016
Vietnam	55.69	2016
Syria	54.73	2016
Mauritius	53.69	2016
Uruguay	53.06	2016
Ecuador	52.95	2016
Panama	52.69	2016
Paraguay	52.50	2016
Fiji	52.42	2016
Iran	52.37	2016
Iraq	51.51	2016
Mexico	50.80	2016
Lebanon	50.56	2016
Morocco	50.28	2016
Ghana	49.01	2016
United States	48.87	2016
Ukraine	48.62	2016
Colombia	48.51	2016
Ireland	48.39	2016
Cambodia	48.17	2016
Moldova	48.16	2016
Albania	48.15	2016
Montenegro	47.80	2016
Russia	47.31	2016
Indonesia	46.97	2016
Jordan	46.89	2016
India	46.59	2016
Sri Lanka	46.26	2016
Italy	46.22	2016
Kazakhstan	45.88	2016
Belgium	45.19	2016
Maldives	45.02	2016
France	44.06	2016
Serbia	43.28	2016
Lithuania	43.15	2016
United Kingdom	43.13	2016
Australia	43.12	2016
Sweden	43.12	2016
Thailand	42.56	2016
Bosnia And Herzegovina	42.46	2016
Nepal	42.15	2016
Chile	42.00	2016
Hungary	41.93	2016
Bulgaria	41.42	2016
Turkey	39.43	2016
Canada	39.20	2016
Tunisia	38.90	2016
Greece	38.46	2016
North Macedonia	38.02	2016
Latvia	37.79	2016
Philippines	37.61	2016
Bahrain	37.26	2016
Brunei	36.96	2016
Palestine	36.90	2016
New Zealand	36.37	2016
Kuwait	36.04	2016
Luxembourg	36.03	2016
Portugal	35.13	2016
Ethiopia	34.19	2016
Slovakia	33.49	2016
Germany	32.95	2016
Azerbaijan	32.39	2016
China	32.08	2016
Czech Republic	32.06	2016
Spain	31.77	2016
Netherlands	31.47	2016
Poland	31.41	2016
Armenia	31.11	2016
Israel	30.63	2016
Cyprus	30.19	2016
Norway	30.11	2016
Iceland	29.89	2016
Romania	29.72	2016
Croatia	29.51	2016
Oman	28.98	2016
Finland	28.12	2016
Belarus	27.57	2016
Malta	26.73	2016
Slovenia	26.27	2016
Switzerland	25.73	2016
Denmark	25.67	2016
Saudi Arabia	25.20	2016
Estonia	24.67	2016
Austria	24.06	2016
United Arab Emirates	23.08	2016
Qatar	22.34	2016
Georgia	22.16	2016
Taiwan	21.21	2016
Hong Kong	20.85	2016
Japan	19.34	2016
Singapore	15.81	2016
South Korea	14.31	2016
Venezuela	85.28	2017
Papua New Guinea	82.38	2017
Honduras	78.34	2017
South Sudan	78.18	2017
South Africa	75.72	2017
Afghanistan	73.85	2017
El Salvador	71.57	2017
Nigeria	70.87	2017
Brazil	70.62	2017
Trinidad And Tobago	70.15	2017
Puerto Rico	69.19	2017
Guyana	67.66	2017
Mongolia	67.62	2017
Jamaica	67.48	2017
Bangladesh	67.24	2017
Syria	66.34	2017
Angola	65.51	2017
Kenya	64.96	2017
Malaysia	64.75	2017
Peru	63.28	2017
Bahamas	63.21	2017
Namibia	63.09	2017
Argentina	62.63	2017
Dominican Republic	62.62	2017
Tanzania	61.39	2017
Guatemala	59.58	2017
Bolivia	59.5	2017
Somalia	58.83	2017
Uganda	56.87	2017
Costa Rica	55.94	2017
Fiji	55.6	2017
Cambodia	54.61	2017
Libya	54.47	2017
Pakistan	54.38	2017
Iraq	54.35	2017
Zimbabwe	53.46	2017
Vietnam	52.96	2017
Egypt	52.86	2017
Colombia	51.69	2017
Uruguay	51.64	2017
Ukraine	51.27	2017
Mauritius	51.13	2017
Iran	50.9	2017
Ecuador	50.88	2017
Mexico	50.32	2017
Panama	50.01	2017
Thailand	49.78	2017
Indonesia	49.68	2017
Algeria	49.63	2017
Paraguay	49.6	2017
Ethiopia	49.18	2017
Lebanon	49.16	2017
Morocco	48.89	2017
United States	48.76	2017
Kazakhstan	48.29	2017
Chile	47.5	2017
Ghana	46.99	2017
Maldives	46.98	2017
Sweden	46.65	2017
Russia	46.05	2017
Ireland	45.77	2017
Norway	45.69	2017
Moldova	45.35	2017
Italy	44.66	2017
Belgium	44.51	2017
Albania	44.27	2017
India	43.96	2017
France	43.66	2017
Jordan	43.14	2017
Australia	42.42	2017
United Kingdom	41.19	2017
Turkey	41.09	2017
Bosnia And Herzegovina	40.97	2017
Tunisia	40.94	2017
Greece	40.32	2017
Bulgaria	40.18	2017
Lithuania	40.03	2017
Philippines	39.77	2017
Canada	39.25	2017
New Zealand	38.78	2017
Montenegro	38.67	2017
North Macedonia	38.66	2017
Serbia	38.62	2017
Hungary	38.39	2017
Palestine	38.01	2017
Nepal	37.15	2017
Latvia	36.45	2017
Brunei	36.07	2017
Portugal	35.39	2017
Bahrain	35.35	2017
Sri Lanka	34.57	2017
China	33.9	2017
Kuwait	33.48	2017
Cyprus	32.46	2017
Germany	32.03	2017
Poland	31.53	2017
Spain	31.28	2017
Malta	30.56	2017
Slovakia	30.18	2017
Czech Republic	30.18	2017
Netherlands	29.89	2017
Luxembourg	29.04	2017
Israel	29.01	2017
Romania	27.95	2017
Croatia	27.8	2017
Iceland	27.49	2017
Armenia	27.08	2017
Azerbaijan	27.05	2017
South Korea	25.27	2017
Finland	24.63	2017
Oman	24.47	2017
Slovenia	24.05	2017
Saudi Arabia	23.65	2017
Estonia	23	2017
Switzerland	22.45	2017
Belarus	22.26	2017
Denmark	21.13	2017
Japan	20.89	2017
Georgia	20.83	2017
Hong Kong	20.68	2017
United Arab Emirates	20.66	2017
Austria	19.25	2017
Taiwan	17.24	2017
Singapore	16.58	2017
Qatar	15.7	2017
