index,Country,Happiness Rank,Happiness Score,Year
0,Switzerland,1,7.587000000000001,2015
1,Iceland,2,7.561,2015
2,Denmark,3,7.527,2015
3,Norway,4,7.522,2015
4,Canada,5,7.4270000000000005,2015
5,Finland,6,7.406000000000001,2015
6,Netherlands,7,7.377999999999999,2015
7,Sweden,8,7.364,2015
8,New Zealand,9,7.2860000000000005,2015
9,Australia,10,7.284,2015
10,Israel,11,7.278,2015
11,Costa Rica,12,7.226,2015
12,Austria,13,7.2,2015
13,Mexico,14,7.187,2015
14,United States,15,7.119,2015
15,Brazil,16,6.983,2015
16,Luxembourg,17,6.946000000000001,2015
17,Ireland,18,6.94,2015
18,Belgium,19,6.937,2015
19,United Arab Emirates,20,6.901,2015
20,United Kingdom,21,6.867000000000001,2015
21,Oman,22,6.853,2015
22,Venezuela,23,6.81,2015
23,Singapore,24,6.797999999999999,2015
24,Panama,25,6.7860000000000005,2015
25,Germany,26,6.75,2015
26,Chile,27,6.67,2015
27,Qatar,28,6.611000000000001,2015
28,France,29,6.575,2015
29,Argentina,30,6.574,2015
30,Czech Republic,31,6.505,2015
31,Uruguay,32,6.485,2015
32,Colombia,33,6.477,2015
33,Thailand,34,6.455,2015
34,Saudi Arabia,35,6.4110000000000005,2015
35,Spain,36,6.329,2015
36,Malta,37,6.3020000000000005,2015
37,Taiwan,38,6.297999999999999,2015
38,Kuwait,39,6.295,2015
39,Suriname,40,6.269,2015
40,Trinidad and Tobago,41,6.167999999999999,2015
41,El Salvador,42,6.13,2015
42,Guatemala,43,6.122999999999999,2015
43,Uzbekistan,44,6.002999999999999,2015
44,Slovakia,45,5.995,2015
45,Japan,46,5.987,2015
46,South Korea,47,5.984,2015
47,Ecuador,48,5.975,2015
48,Bahrain,49,5.96,2015
49,Italy,50,5.9479999999999995,2015
50,Bolivia,51,5.89,2015
51,Moldova,52,5.888999999999999,2015
52,Paraguay,53,5.877999999999999,2015
53,Kazakhstan,54,5.855,2015
54,Slovenia,55,5.848,2015
55,Lithuania,56,5.832999999999999,2015
56,Nicaragua,57,5.827999999999999,2015
57,Peru,58,5.824,2015
58,Belarus,59,5.813,2015
59,Poland,60,5.791,2015
60,Malaysia,61,5.77,2015
61,Croatia,62,5.7589999999999995,2015
62,Libya,63,5.754,2015
63,Russia,64,5.716,2015
64,Jamaica,65,5.709,2015
65,North Cyprus,66,5.695,2015
66,Cyprus,67,5.689,2015
67,Algeria,68,5.605,2015
68,Kosovo,69,5.5889999999999995,2015
69,Turkmenistan,70,5.547999999999999,2015
70,Mauritius,71,5.477,2015
71,Hong Kong,72,5.474,2015
72,Estonia,73,5.428999999999999,2015
73,Indonesia,74,5.399,2015
74,Vietnam,75,5.36,2015
75,Turkey,76,5.332000000000001,2015
76,Kyrgyzstan,77,5.2860000000000005,2015
77,Nigeria,78,5.268,2015
